sno,,station,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101001,YouBike2.0_,捷運科技大樓站,28,4,大安區,2023/5/8 10:09,25.02605,121.5436,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,24,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101002,YouBike2.0_,復興南路二段273號前,21,1,大安區,2023/5/8 09:04,25.02565,121.54357,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),20,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:04,2023/5/8
500101003,YouBike2.0_,國北教大實小東側門,16,7,大安區,2023/5/8 10:05,25.02429,121.54124,和平東路二段96巷7號,Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7， Ln. 96， Sec. 2， Heping E. Rd,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101004,YouBike2.0_,和平公園東側,11,3,大安區,2023/5/8 09:44,25.02351,121.54282,和平東路二段118巷33號,Daan Dist.,YouBike2.0_Heping Park (East),No. 33， Ln. 118， Sec. 2， Heping E. Rd,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:44,2023/5/8
500101005,YouBike2.0_,辛亥復興路口西北側,16,0,大安區,2023/5/8 10:06,25.02153,121.54299,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,16,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101006,YouBike2.0_,復興南路二段280號前,11,2,大安區,2023/5/8 09:54,25.02429,121.54328,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:54,2023/5/8
500101007,YouBike2.0_,復興南路二段340巷口,11,2,大安區,2023/5/8 10:09,25.02253,121.54326,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101008,YouBike2.0_,新生南路三段52號前,17,0,大安區,2023/5/8 09:59,25.02112,121.53407,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,17,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:59,2023/5/8
500101009,YouBike2.0_,新生南路三段66號前,16,1,大安區,2023/5/8 09:21,25.01976,121.53384,新生南路三段66號東側,Daan Dist.,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,No. 66， Sec. 3， Xinsheng S. Rd. (East),15,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:21,2023/5/8
500101010,YouBike2.0_,新生南路三段82號前,20,13,大安區,2023/5/8 10:09,25.01894,121.53361,新生南路三段82號,Daan Dist.,YouBike2.0_No. 82， Sec. 3， Xinsheng S. Rd.,No. 82， Sec. 3， Xinsheng S. Rd.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101012,YouBike2.0_,辛亥路一段30號前,8,0,大安區,2023/5/8 09:52,25.01986,121.52982,辛亥路一段30號,Daan Dist.,YouBike2.0_No. 30， Sec. 1， Xinhai Rd.,No. 30， Sec. 1， Xinhai Rd.,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:52,2023/5/8
500101013,YouBike2.0_,和平復興路口西北側,9,1,大安區,2023/5/8 09:52,25.02543,121.54332,復興南路二段236號,Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236， Sec. 2， Fuxing S. Rd.,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:52,2023/5/8
500101014,YouBike2.0_,羅斯福路三段311號前,11,5,大安區,2023/5/8 10:04,25.01717,121.53202,羅斯福路三段311號,Daan Dist.,YouBike2.0_No. 311， Sec. 3， Roosevelt Rd.,No. 311， Sec. 3， Roosevelt Rd.,4,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:04,2023/5/8
500101015,YouBike2.0_,大安運動中心停車場,14,9,大安區,2023/5/8 09:55,25.020348,121.546446,敦南街76巷28號,Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28， Ln. 76， Dunnan St.,5,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:55,2023/5/8
500101016,YouBike2.0_,羅斯福路三段245號前,8,1,大安區,2023/5/8 09:52,25.01927,121.52989,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:52,2023/5/8
500101018,YouBike2.0_,溫州公園,5,0,大安區,2023/5/8 10:08,25.01895,121.53156,羅斯福路三段283巷11號,Daan Dist.,YouBike2.0_Wenzhou Park,No. 11， Ln. 283， Sec. 3， Roosevelt Rd.,5,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101019,YouBike2.0_,和平臥龍街口,15,5,大安區,2023/5/8 09:49,25.024461,121.546705,臥龍街1號,Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1， Wolong St.,10,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:49,2023/5/8
500101020,YouBike2.0_,溫州停車場,5,3,大安區,2023/5/8 09:12,25.02093,121.5331,新生南路三段54巷/溫州街口,Daan Dist.,YouBike2.0_Wenzhou Parking Lot,Ln. 54， Sec. 3， Xinsheng S. Rd. & Wenzhou St. Intersection,2,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:12,2023/5/8
500101021,YouBike2.0_,銘傳國小側門,7,0,大安區,2023/5/8 08:41,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,7,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 08:41,2023/5/8
500101022,YouBike2.0_,捷運公館站(2號出口),99,1,大安區,2023/5/8 10:09,25.01491,121.53438,捷運公館站(2號出口)外側,Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),97,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101023,YouBike2.0_,第二學生活動中心,27,0,大安區,2023/5/8 09:57,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),26,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:57,2023/5/8
500101024,YouBike2.0_,臺灣科技大學正門,30,22,大安區,2023/5/8 09:59,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,8,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 09:59,2023/5/8
500101025,YouBike2.0_,臺灣科技大學側門,99,19,大安區,2023/5/8 10:05,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,80,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:05,2023/5/8
500101026,YouBike2.0_,公館公園,15,6,大安區,2023/5/8 07:35,25.01137,121.54062,羅斯福路四段113巷基隆路四段41巷口,Daan Dist.,YouBike2.0_Gongguan Park,Ln. 113， Sec. 4， Roosevelt Rd. & Ln. 41， Sec. 4， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 07:35,2023/5/8
500101027,YouBike2.0_,臺灣科技大學後門,39,1,大安區,2023/5/8 10:09,25.01182,121.54165,基隆路四段41巷68弄臺科帆船大樓旁,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68， Ln. 41， Sec. 4， Keelung Rd.,38,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101028,YouBike2.0_,臺大醫學院附設癌醫中心,20,14,大安區,2023/5/8 10:09,25.01426,121.54382,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),6,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101029,YouBike2.0_,臺大環研大樓,15,6,大安區,2023/5/8 10:01,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101030,YouBike2.0_,臺大永齡生醫工程館,34,11,大安區,2023/5/8 10:06,25.0136,121.54656,芳蘭路51號西北側,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51， Fanglan Rd.(Northwest),23,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
500101031,YouBike2.0_,臺大男七舍前,20,8,大安區,2023/5/8 10:08,25.01537,121.54698,長興街/長興街80巷口西側,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80， Changxing St. Intersection(West),12,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:08,2023/5/8
500101032,YouBike2.0_,臺大男一舍前,61,32,大安區,2023/5/8 10:09,25.01637,121.54535,長興街50號西北側,Daan Dist.,YouBike2.0_NTU 1st Men's Dorm,No. 50， Changxing St.(Northwest),29,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101033,YouBike2.0_,臺大男六舍前,46,28,大安區,2023/5/8 10:01,25.01664,121.5452,大安區長興街31號,Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31， Changxing St.,18,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:01,2023/5/8
500101034,YouBike2.0_,臺大動物醫院前,18,9,大安區,2023/5/8 10:09,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,9,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:09,2023/5/8
500101035,YouBike2.0_,臺大土木研究大樓前,24,9,大安區,2023/5/8 10:06,25.01787,121.5476,辛亥路三段188號,Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188， Sec. 3， Xinhai Rd.,14,1,2023/5/8 10:09,2023/5/8 10:09,2023/5/8 10:06,2023/5/8
